"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"10532","Lasioglossum pauxillum",37.040001,-6.55,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 25 km SWW Sevilla, Aznalcazar, E-sev 22",NA,"55_Gbif_10531"
"10533","Lasioglossum griseolum",36.34,-6.16,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 23 km S Cadiz, Chiclanca, E-cad 1",NA,"55_Gbif_10532"
"10534","Halictus scabiosae",37.040001,-6.55,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 23 km S Cadiz, Chiclanca, E-cad 1",NA,"55_Gbif_10533"
"10535","Lasioglossum interruptum",37.299999,-6.26,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 25 km SWW Sevilla, Aznalcazar, E-sev 22",NA,"55_Gbif_10534"
"10536","Lasioglossum virens",37.040001,-6.55,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 23 km S Cadiz, Chiclanca, E-cad 1",NA,"55_Gbif_10535"
"10537","Lasioglossum minutissimum",37.040001,-6.55,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 23 km S Cadiz, Chiclanca, E-cad 1",NA,"55_Gbif_10536"
"10538","Halictus scabiosae",37.040001,-6.55,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 23 km S Cadiz, Chiclanca, E-cad 1",NA,"55_Gbif_10537"
"10539","Lasioglossum malachurum",37.040001,-6.55,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 23 km S Cadiz, Chiclanca, E-cad 1",NA,"55_Gbif_10538"
"10540","Lasioglossum discum",37.040001,-6.55,"Halictidae",2010,8,4,"Schmid-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, Andalucia, 23 km S Cadiz, Chiclanca, E-cad 1",NA,"55_Gbif_10539"
"10543","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10542"
"10544","Lasioglossum malachurum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10543"
"10545","Lasioglossum minutissimum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10544"
"10546","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10545"
"10547","Lasioglossum malachurum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10546"
"10548","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10547"
"10549","Lasioglossum minutissimum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10548"
"10550","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10549"
"10551","Lasioglossum malachurum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10550"
"10552","Halictus gemmeus",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10551"
"10553","Lasioglossum albocinctum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10552"
"10554","Lasioglossum malachurum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10553"
"10555","Lasioglossum transitorium",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10554"
"10556","Lasioglossum nitidulum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10555"
"10557","Lasioglossum prasinum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10556"
"10558","Lasioglossum prasinum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10557"
"10559","Halictus fulvipes",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10558"
"10560","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10559"
"10561","Lasioglossum villosulum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10560"
"10562","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10561"
"10563","Lasioglossum malachurum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10562"
"10564","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10563"
"10565","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10564"
"10566","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10565"
"10567","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10566"
"10568","Ceylalictus variegatus",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10567"
"10569","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10568"
"10570","Ceylalictus variegatus",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10569"
"10571","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10570"
"10572","Halictus fulvipes",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10571"
"10573","Ceylalictus variegatus",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10572"
"10574","Halictus scabiosae",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10573"
"10575","Halictus gemmeus",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10574"
"10576","Halictus gemmeus",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10575"
"10577","Halictus fulvipes",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10576"
"10578","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10577"
"10579","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10578"
"10580","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10579"
"10581","Halictus scabiosae",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10580"
"10582","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10581"
"10583","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10582"
"10584","Halictus scabiosae",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10583"
"10585","Halictus fulvipes",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10584"
"10586","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10585"
"10587","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10586"
"10588","Halictus scabiosae",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10587"
"10589","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10588"
"10590","Lasioglossum littorale",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10589"
"10591","Lasioglossum griseolum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10590"
"10592","Halictus microcardia",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10591"
"10593","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10592"
"10594","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10593"
"10595","Halictus vestitus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10594"
"10596","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10595"
"10597","Halictus subauratus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10596"
"10598","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10597"
"10599","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10598"
"10600","Halictus fulvipes",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10599"
"10601","Lasioglossum griseolum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10600"
"10602","Lasioglossum albocinctum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10601"
"10603","Lasioglossum nitidulum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10602"
"10604","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10603"
"10605","Halictus subauratus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10604"
"10606","Halictus vestitus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10605"
"10607","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10606"
"10608","Halictus fulvipes",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10607"
"10609","Lasioglossum transitorium",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10608"
"10610","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10609"
"10611","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10610"
"10612","Halictus vestitus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10611"
"10613","Halictus vestitus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10612"
"10614","Halictus gemmeus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10613"
"10615","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10614"
"10616","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10615"
"10617","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10616"
"10618","Halictus fulvipes",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10617"
"10619","Halictus gemmeus",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10618"
"10620","Lasioglossum soror",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10619"
"10621","Halictus scabiosae",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10620"
"10622","Lasioglossum nitidulum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10621"
"10623","Halictus gemmeus",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10622"
"10624","Lasioglossum griseolum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10623"
"10625","Lasioglossum griseolum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10624"
"10626","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10625"
"10627","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10626"
"10628","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10627"
"10630","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10629"
"10631","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10630"
"10632","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10631"
"10633","Halictus vestitus",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10632"
"10634","Halictus scabiosae",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10633"
"10635","Halictus scabiosae",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10634"
"10636","Lasioglossum nitidulum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10635"
"10637","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10636"
"10638","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10637"
"10639","Lasioglossum transitorium",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10638"
"10640","Lasioglossum transitorium",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10639"
"10641","Halictus scabiosae",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10640"
"10642","Halictus scabiosae",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10641"
"10643","Halictus fulvipes",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10642"
"10644","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10643"
"10645","Halictus scabiosae",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10644"
"10646","Lasioglossum malachurum",39.80738,2.79654,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"55_Gbif_10645"
"10647","Lasioglossum transitorium",39.7981,2.7771,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10646"
"10648","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10647"
"10649","Lasioglossum prasinum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10648"
"10650","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10649"
"10651","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10650"
"10652","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10651"
"10653","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10652"
"10654","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10653"
"10655","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10654"
"10656","Lasioglossum villosulum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10655"
"10657","Lasioglossum minutissimum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10656"
"10658","Halictus gemmeus",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10657"
"10659","Lasioglossum griseolum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10658"
"10660","Lasioglossum malachurum",39.774475,3.129261,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_10659"
"10661","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10660"
"10662","Halictus scabiosae",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10661"
"10663","Lasioglossum nitidulum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10662"
"10664","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10663"
"10665","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10664"
"10666","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10665"
"10667","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10666"
"10668","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10667"
"10669","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10668"
"10670","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10669"
"10671","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10670"
"10672","Lasioglossum nitidulum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10671"
"10673","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10672"
"10674","Lasioglossum nitidulum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10673"
"10675","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10674"
"10676","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10675"
"10677","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10676"
"10678","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10677"
"10679","Lasioglossum nitidulum",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10678"
"10680","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10679"
"10681","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10680"
"10682","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10681"
"10683","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10682"
"10684","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10683"
"10685","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10684"
"10686","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10685"
"10687","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10686"
"10688","Halictus gemmeus",39.742645,3.430195,"Halictidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10687"
"10689","Halictus scabiosae",38.444664,-1.167496,"Halictidae",2009,7,2,"Juan Bautista Vera Perez","John Ascher",NA,"Región de Murcia",NA,NA,"55_Gbif_10688"
"10692","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10691"
"10693","Halictus microcardia",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10692"
"10694","Ceylalictus variegatus",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10693"
"10695","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10694"
"10696","Lasioglossum prasinum",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10695"
"10698","Lasioglossum malachurum",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10697"
"10700","Halictus gemmeus",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10699"
"10702","Lasioglossum nitidulum",39.742645,3.430195,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_10701"
"10703","Halictus scabiosae",39.7981,2.7771,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10702"
"10704","Halictus scabiosae",39.7981,2.7771,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10703"
"10705","Lasioglossum nitidulum",39.7981,2.7771,"Halictidae",2009,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_10704"
