"";"X";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"279";279;"Pseudoanthidium melanorum";"Pseudoanthidium melanurum";NA;NA;"Pseudoanthidium melanurum";NA;NA
"280";280;"Pseudoanthidium stigmaticorne";NA;NA;NA;"Pseudoanthidium nanum";"aggregate";NA
"281";281;"Psithyrus barbutellus";NA;NA;NA;"Bombus barbutellus";NA;NA
"282";282;"Psithyrus bohemicus";NA;NA;NA;"Bombus bohemicus";NA;NA
"283";283;"Psithyrus campestris";NA;NA;NA;"Bombus campestris";NA;NA
"284";284;"Psithyrus maxillosus";NA;NA;NA;"Bombus barbutellus";NA;"Now synonymous with barbutellus"
"285";285;"Psithyrus norvegicus";NA;NA;NA;"Bombus norvegicus";NA;NA
"286";286;"Psithyrus rupestris";NA;NA;NA;"Bombus rupestris";NA;NA
"287";287;"Psithyrus silvestris";NA;NA;NA;"Bombus sylvestris";NA;NA
"288";288;"Psithyrus vestalis";NA;NA;NA;"Bombus vestalis";NA;NA
"289";289;"Rhodanthidium septendentatum";"Rhodanthidium septemdentatum";NA;NA;"Rhodanthidium septemdentatum";NA;NA
"290";290;"Sphecodes crassanus???";NA;NA;"???";"Remove";NA;"Delete - user uncertainty"
"291";291;"Sphecodes ferruginatus_or_croaticus";NA;NA;"_or_";"Remove";NA;"Delete - user uncertainty"
"292";292;"Sphecodes longulus???";NA;NA;"???";"Remove";NA;"Delete - user uncertainty"
"293";293;"Sphecodes punticeps";"Sphecodes puncticeps";NA;NA;"Sphecodes puncticeps";NA;NA
"294";294;"Sphecodes spinulosus_or_ferruginatus";NA;NA;"_or_";"Remove";NA;"Delete - user uncertainty"
"295";295;"Sphecodes subovalis";NA;NA;NA;"Sphecodes rufiventris";NA;NA
"296";296;"Tetralonia acutangula";NA;"Tetraloniella fulvescens";NA;"Eucera fulvescens";NA;"All Tetralonia/Tetraloniella now Eucera (Tetralonia) species"
"297";297;"Tetralonia alternans";NA;NA;NA;"Eucera alternans";NA;NA
"298";298;"Tetralonia antigae";NA;"Tetraloniella strigata";NA;"Eucera strigata";NA;NA
"299";299;"Tetralonia asensioi";NA;NA;NA;"Remove";NA;"No idea!"
"300";300;"Tetralonia atroalba";NA;NA;NA;"Eucera brachycera";NA;NA
"301";301;"Tetralonia berlandi";NA;NA;NA;"Eucera rufa";NA;NA
"302";302;"Tetralonia dentata";NA;NA;NA;"Eucera dentata";NA;NA
"303";303;"Tetralonia dufouri";NA;NA;NA;"Remove";NA;"No idea!"
"304";304;"Tetralonia fulvescens";NA;NA;NA;"Eucera fulvescens";NA;NA
"305";305;"Tetralonia graja";NA;NA;NA;"Eucera graja";NA;NA
"306";306;"Tetralonia iberica";NA;NA;NA;"Eucera iberica";NA;NA
"307";307;"Tetralonia malvae";NA;NA;NA;"Eucera malvae";NA;NA
"308";308;"Tetralonia nana";NA;NA;NA;"Eucera nana";NA;NA
"309";309;"Tetralonia ruficornis";NA;NA;NA;"Eucera ruficornis";NA;NA
"310";310;"Tetralonia salicariae";NA;"Tetraloniella salicariae";NA;"Eucera salicariae";NA;NA
"311";311;"Tetralonia tricincta";NA;"Eucera tricincta";NA;"Eucera tricincta";NA;NA
"312";312;"Tetraloniella cinctella";NA;NA;NA;"Eucera cinctella";NA;NA
"313";313;"Tetraloniella dentata";NA;NA;NA;"Eucera dentata";NA;NA
"314";314;"Tetraloniella fulvescens";NA;NA;NA;"Eucera fulvescens";NA;NA
"315";315;"Tetraloniella graja";NA;NA;NA;"Eucera graja";NA;NA
"316";316;"Tetraloniella iberica";NA;NA;NA;"Eucera iberica";NA;NA
"317";317;"Tetraloniella nana";NA;NA;NA;"Eucera nana";NA;NA
"318";318;"Tetraloniella ruficornis";NA;NA;NA;"Eucera ruficornis";NA;NA
"319";319;"Tetraloniella salicariae";NA;NA;NA;"Eucera salicariae";NA;NA
"320";320;"Tetraloniella strigata";NA;NA;NA;"Eucera strigata";NA;NA
"321";321;"Thyreus hellenicus";NA;NA;NA;"Remove";NA;"I don't understand this taxon - not listed by Ortiz-Sanchez, no-body really understands Thyreus at all, very difficult bees"
"322";322;"Thyreus ramosellus";NA;NA;NA;"Remove";NA;"East Mediterranean - delete"
"323";323;"Trachusa atlantica";NA;NA;NA;"Trachusa laeviventris";NA;NA
"324";324;"Trachusa laeviventre";"Trachusa laeviventris";NA;NA;"Trachusa laeviventris";NA;NA
"325";325;"Xylocopa pubescens";NA;NA;NA;"Remove";NA;"Currently not know from Iberia - North African species"
"326";326;"Xylocopa uclesiensis";NA;NA;NA;"Xylocopa iris";NA;NA
"327";327;"Xylocopa violaceae";"Xylocopa violacea";NA;NA;"Xylocopa violacea";NA;NA
"328";328;"Heliophila bimaculata";NA;NA;NA;"Anthophora bimaculata";NA;NA
"329";329;"Seladonia gemmella";NA;NA;NA;"Halictus gemellus";NA;NA
"330";330;"Seladonia submediterranea";NA;NA;NA;"Halictus submediterraneus";NA;NA
"331";331;"Synhalonia hungarica";NA;NA;NA;"Eucera hungarica";NA;NA
"332";332;"Bombus inexpectatus";NA;NA;NA;"Bombus inexspectatus";NA;NA
"333";333;"Haetosmia circumventa";NA;NA;NA;"Remove";NA;"Canary Islands"
"334";334;"Hoplitis crenulata";NA;NA;NA;"Hoplitis annulata";"crenulata";NA
"335";335;"Afranthidium malacopygum";NA;NA;NA;"Afranthidium carduele";"malacopygum";NA
"336";336;"Amegilla albifrons";NA;NA;NA;"Remove";NA;NA
"337";337;"Andrena albupunctata";NA;NA;NA;"Andrena albopunctata";NA;"Typo"
"338";338;"Andrena armata";NA;NA;NA;"Andrena fulva";NA;"old synonym"
"339";339;"Andrena benoisti";NA;NA;NA;"Andrena benoisti";NA;"newly described, Spain and Portugal. Authority Wood & Praz, 2021"
"340";340;"Andrena coitana";NA;NA;NA;"Andrena coitana";NA;"This is a good species, present in Iberia"
"341";341;"Andrena dourada";NA;NA;NA;"Remove";NA;"newly descibed, Madeira only"
"342";342;"Andrena dunningi";NA;NA;NA;"Remove";NA;"This is a North American species, delete"
"343";343;"Andrena flava";NA;NA;NA;"Remove";NA;"There is no Andrena flava, must be a genus + species error"
"344";344;"Andrena fortipunctata";NA;NA;NA;"Andrena fortipunctata";NA;"newly described, Spain. authority Wood, 2021"
"345";345;"Andrena gallica";NA;"Andrena assimilis";NA;"Andrena assimilis";NA;"synonym"
"346";346;"Andrena hispanica";NA;NA;NA;"Andrena hispania";NA;"Typo"
"347";347;"Andrena juliana";NA;NA;NA;"Andrena juliana";NA;"newly described, Spain and Portugal. Authority Wood, 2021"
"348";348;"Andrena levante";NA;NA;NA;"Andrena levante";NA;"newly described, Spain. authority Wood & Praz, 2021"
"349";349;"Andrena maderiensis";NA;NA;NA;"Remove";NA;"Madeira only"
"350";350;"Andrena minuta";NA;NA;NA;"Andrena minutula";NA;"Typo"
"351";351;"Andrena numida";NA;NA;NA;"Andrena hypopolia";NA;"hypopolia is probably a synonym of A. numida, but keep all Iberian data under hypopolia for now"
"352";352;"Andrena ocreata";NA;"Andrena similis";NA;"Andrena similis";NA;"NB all similis data needs to be synonymised under Andrena russula Lepeletier, 1841 at some point, this paper is in review"
"353";353;"Andrena ornata";NA;NA;NA;"Remove";NA;"Eastern species - never recorded from Iberia"
"354";354;"Andrena orotavensis";NA;NA;NA;"Remove";NA;"Does not exist - no idea!"
"355";355;"Andrena parvula";NA;"Andrena minutula";NA;"Andrena minutula";NA;"synonym"
"356";356;"Andrena quadrimaculata";NA;NA;NA;"Remove";NA;"Eastern species - never recorded from Iberia"
"357";357;"Andrena strohmella";NA;NA;NA;"Remove";NA;"Taxonomic+ecological issues, difference from A. icterina Warncke unclear, I cannot resolve this issue without specimens"
"358";358;"Andrena taraxaci";NA;NA;NA;"Remove";NA;"Species complex, true taraxaci not present in Iberia, could be one of several species"
"359";359;"Andrena ternuistriata";NA;NA;NA;"Andrena tenuistriata";NA;"Typo"
"360";360;"Anthidium blongatum";NA;NA;NA;"Anthidium oblongatum";NA;"Typo"
"361";361;"Anthidium canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only, exclude"
"362";362;"Anthidium florentimun";NA;NA;NA;"Anthidium florentinum";NA;"Typo"
"363";363;"Anthidium latreillei";NA;NA;NA;"Remove";NA;"Could possibly be Icteranthidium laterale, but this is too much of a jump to make without examining the specimen"
"364";364;"Anthidium stictium";NA;NA;NA;"Rhodanthidium sticticum";NA;"I assume that both the genus and the spelling of the specific name is incorrect"
"365";365;"Anthidium trematum";NA;NA;NA;"Remove";NA;"No idea! Delete"
"366";366;"Anthidium variegatum";NA;NA;NA;"Remove";NA;"No idea! Delete"
"367";367;"Anthophora californica";NA;NA;NA;"Remove";NA;"North American species!"
"368";368;"Anthophora hispanicus";NA;NA;NA;"Anthophora hispanica";NA;NA
"369";369;"Anthophora liefrincki";NA;NA;NA;"Remove";NA;"No idea! Delete"
"370";370;"Anthophora nigrocincta";NA;NA;NA;"Anthophora canescens";NA;"synonym"
"371";371;"Anthophora toracica";NA;NA;NA;"Remove";NA;"No idea! Delete"
"372";372;"Bombus argillaceus";NA;NA;NA;"Remove";NA;"argillaceus does not occur in Iberia - probably a specimen of Bombus ruderatus"
"373";373;"Bombus canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only"
"374";374;"Bombus cryptarum";NA;NA;NA;"Remove";NA;"Good species, but B. cryptarum does not occur in Iberia"
"375";375;"Bombus montincola";NA;NA;NA;"Bombus monticola";NA;"Typo"
"376";376;"Bombus subterraneous";NA;NA;NA;"Bombus subterraneus";NA;"Typo"
"377";377;"Bombus terrestri";NA;NA;NA;"Bombus terrestris";NA;"Typo"
"378";378;"Bombus wuerflenii";NA;NA;NA;"Bombus wurflenii";NA;"Typo"
"379";379;"Bombus wurfleinii";NA;NA;NA;"Bombus wurflenii";NA;"Typo"
"380";380;"Ceratina calybea";NA;NA;NA;"Ceratina chalybea";NA;"Typo"
"381";381;"Ceratina curcubitina";NA;NA;NA;"Ceratina cucurbitina";NA;"Typo"
"382";382;"Coelioxys auroliubata";NA;NA;NA;"Coelioxys aurolimbata";NA;"Typo"
"383";383;"Colletes africana";NA;NA;NA;"Remove";NA;"Not an Iberian species"
"384";384;"Colletes albescens";NA;NA;NA;"Remove";NA;"Not an Iberian species"
"385";385;"Colletes dimidiatus";NA;NA;NA;"Colletes dimidiatus";NA;"Endemic to Spain"
"386";386;"Colletes jansmiti";NA;NA;NA;"Colletes jansmiti";NA;"Newly described"
"387";387;"Colletes moricei";NA;NA;NA;"Colletes moricei";NA;"Good species, endemic to Spain"
"388";388;"Colletes perezi";NA;NA;NA;"Remove";NA;"Does not occur in Iberia"
"389";389;"Dioxys cinta";NA;NA;NA;"Dioxys cinctus";NA;NA
"390";390;"Dioxys tridentata";NA;NA;NA;"Aglaoapis tridentata";NA;NA
"391";391;"Dufourea maura";NA;NA;NA;"Remove";NA;"North American species!"
"392";392;"Dufourea minta";NA;NA;NA;"Remove";NA;"Not a species"
"393";393;"Eucera berlandi";NA;NA;NA;"Eucera rufa";NA;"synonym"
"394";394;"Eucera gracillipes";NA;NA;NA;"Remove";NA;"Canary Islands only"
"395";395;"Eucera lanuginosus";NA;NA;NA;"Remove";NA;"Taxonomic status unclear, exclude"
"396";396;"Eucera maroccana";NA;NA;NA;"Remove";NA;"Status in Iberia unclear, exclude for now"
"397";397;"Eucera nigrencens";NA;NA;NA;"Eucera nigrescens";NA;"Typo"
"398";398;"Halictus asperellus";NA;NA;NA;"Remove";NA;"Not present in Iberia, delete"
"399";399;"Halictus cremicornis";NA;NA;NA;"Halictus crenicornis";NA;"Typo"
"400";400;"Halictus frontalis";NA;NA;NA;"Remove";NA;"Madeira only"
"401";401;"Halictus gemmea";NA;NA;NA;"Halictus gemellus";NA;"equals Seladonia gemmella"
"402";402;"Halictus gemmella";NA;NA;NA;"Halictus gemellus";NA;"equals Seladonia gemmella"
"403";403;"Halictus pauxillum";NA;NA;NA;"Lasioglossum pauxillum";NA;NA
"404";404;"Halictus sacabiosae";NA;NA;NA;"Halictus scabiosae";NA;"Typo"
"405";405;"Halictus seladonia";NA;NA;NA;"Halictus seladonius";NA;"equals Seladonia seladonia"
"406";406;"Halictus similar";NA;NA;NA;"Remove";NA;"No idea, clearly a typo but I don't know what the name was supposed to be"
"407";407;"Halictus subaurata";NA;NA;NA;"Halictus subauratus";NA;"equals Seladonia subaurata"
"408";408;"Halictus submediterranea";NA;NA;NA;"Halictus submediterraneus";NA;"equals Seladonia submediterranea"
"409";409;"Hoplitis cristata";NA;NA;NA;"Hoplitis cristata";NA;NA
"410";410;"Hylaeus ater";NA;NA;NA;"Remove";NA;"Canary Islands only"
"411";411;"Hylaeus bisinuatus";NA;NA;NA;"Hylaeus leptocephalus";NA;"synonym"
"412";412;"Hylaeus canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only"
"413";413;"Hylaeus congruens";NA;NA;NA;"Hylaus imparilis";NA;"synonym"
"414";414;"Hylaeus gredieri";NA;NA;NA;"Hylaeus gredleri";NA;"Typo"
"415";415;"Hylaeus hohmanni";NA;NA;NA;"Remove";NA;"Canary Islands only"
"416";416;"Hylaeus imparallis";NA;NA;NA;"Hylaus imparilis";NA;"Typo"
"417";417;"Hylaeus lineopatus";NA;NA;NA;"Hylaeus lineolatus";NA;"Typo"
"418";418;"Hylaeus maderensis";NA;NA;NA;"Remove";NA;"Madeira only"
"419";419;"Icteranthidium ghromanni";NA;NA;NA;"Icteranthidium grohmanni";NA;"Typo"
"420";420;"Lasioglossum atrovirens";NA;NA;NA;"Lasioglossum albovirens";NA;"Typo"
"421";421;"Lasioglossum capitalis";NA;NA;NA;"Lasioglossum capitale";NA;"Typo"
"422";422;"Lasioglossum consobrinus";NA;NA;NA;"Remove";NA;"Delete for now - could be Halictus consobrinus that is a confused taxon, probably restricted to North Africa"
"423";423;"Lasioglossum discus";NA;NA;NA;"Lasioglossum discum";NA;"Typo"
"424";424;"Lasioglossum evylaeus";NA;NA;NA;"Remove";NA;"Delete - (Evylaeus) is an old subgenus, therefore this record has no determination"
"425";425;"Lasioglossum flavipes";NA;NA;NA;"Remove";NA;"Not a West Palearctic species, clearly a mistake, delete"
"426";426;"Lasioglossum leptocephalum";NA;NA;NA;"Remove";NA;"Not in Iberia - delete, could be several closely related Iberian species"
"427";427;"Lasioglossum lissonotus";NA;NA;NA;"Lasioglossum lissonotum";NA;"Typo"
"428";428;"Lasioglossum loetum";NA;NA;NA;"Remove";NA;"Canary Islands only"
"429";429;"Lasioglossum malachorum";NA;NA;NA;"Lasioglossum malachurum";NA;"Typo"
"430";430;"Lasioglossum mediterraneaum";NA;NA;NA;"Lasioglossum mediterraneum";NA;"Typo"
"431";431;"Lasioglossum minutisimum";NA;NA;NA;"Lasioglossum minutissimum";NA;"Typo"
"432";432;"Lasioglossum minutissima";NA;NA;NA;"Lasioglossum minutissimum";NA;"Typo"
"433";433;"Lasioglossum minutum";NA;NA;NA;"Remove";NA;"No idea, delete"
"434";434;"Lasioglossum pilosum";NA;NA;NA;"Remove";NA;"Not a West Palearctic species, clearly a mistake, delete"
"435";435;"Lasioglossum pygmaeus";NA;NA;NA;"Lasioglossum pygmaeum";NA;"Typo"
"436";436;"Lasioglossum seratum";NA;NA;NA;"Remove";NA;"No idea, delete"
"437";437;"Lasioglossum smaragdulus";NA;NA;NA;"Halictus smaragdulus";NA;"equals Seladonia smaragdula"
"438";438;"Lasioglossum smeathmanellus";NA;NA;NA;"Lasioglossum smeathmanellum";NA;"Typo"
"439";439;"Lasioglossum titusi";NA;NA;NA;"Remove";NA;"North American species!"
"440";440;"Lasioglossum transitorius";NA;NA;NA;"Lasioglossum transitorium";"planulum";"All Iberian material is the subspecies planulum"
"441";441;"Lasioglossum wollastoni";NA;NA;NA;"Remove";NA;NA
"442";442;"Lasioglossum xantopus";NA;NA;NA;"Lasioglossum xanthopus";NA;"Typo"
"443";443;"Lasioglossum xathophus";NA;NA;NA;"Lasioglossum xanthopus";NA;"Typo"
"444";444;"Megachile binominata";NA;NA;NA;"Remove";NA;"Canary Islands only"
"445";445;"Megachile canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only"
"446";446;"Megachile cetuncularis";NA;NA;NA;"Megachile centuncularis";NA;"Typo"
"447";447;"Megachile circucimcta";NA;NA;NA;"Megachile circumcincta";NA;"Typo"
"448";448;"Megachile retundata";NA;NA;NA;"Megachile rotundata";NA;"Typo"
"449";449;"Megachilini analis";NA;NA;NA;"Megachile analis";NA;"Typo"
"450";450;"Nomioides fallax";NA;NA;NA;"Nomioides facilis";NA;"synonym"
"451";451;"Nomioides minutissima";NA;NA;NA;"Nomioides minutissimus";NA;"Typo"
"452";452;"Nomioides variegatus";NA;NA;NA;"Ceylalictus variegatus";NA;"Wrong genus"
"453";453;"Osmia acuticornis";NA;NA;NA;"Hoplitis acuticornis";NA;"Wrong genus"
"454";454;"Osmia canariensis";NA;NA;NA;"Remove";NA;"There is no Osmia canariensis - possibly Andrena submicans canaria, but I cannot be certain without inspecting material"
"455";455;"Osmia cinnabarina";NA;NA;NA;"Osmia cinnabarina";NA;"Authority Perez 1895"
"456";456;"Osmia dimidata";NA;NA;NA;"Osmia dimidiata";NA;"Typo"
"457";457;"Osmia latreille";NA;NA;NA;"Osmia latreillei";NA;"Typo"
"458";458;"Osmia latrillei";NA;NA;NA;"Osmia latreillei";NA;"Typo"
"459";459;"Osmia madeirensis";NA;NA;NA;"Remove";NA;"Madeira only"
"460";460;"Osmia perambigua";NA;NA;NA;"Remove";NA;"Wrong genus, Canary Islands only: Hoplitis perambigua"
"461";461;"Osmia uncinata";NA;NA;NA;"Osmia uncincata";NA;"Typo"
"462";462;"Osmia xanthomelaena";NA;NA;NA;"Osmia xanthomelana";NA;"Typo"
"463";463;"Osmiini emarginata";NA;NA;NA;"Osmia emarginata";NA;"Typo"
"464";464;"Panurgus brullei";NA;NA;NA;"Remove";NA;"Typo, check records, P. brullei is restricted to the Canary Islands"
"465";465;"Paranthidiellum lituratum";NA;NA;NA;"Remove";NA;"Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination"
"466";466;"Peponapis pruinosa";NA;NA;NA;"Remove";NA;"North American species! Bizarre record"
"467";467;"Pseudoanthidium liturathum";NA;NA;NA;"Remove";NA;"Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination"
"468";468;"Reanthidium nigricolle";NA;NA;NA;"Remove";NA;"Delete"
"469";469;"Rhodanthidium septemdentatun";NA;NA;NA;"Rhodanthidium septemdentatum";NA;"Typo"
"470";470;"Rhodanthidium septempunctatum";NA;NA;NA;"Remove";NA;"Possibly septemdentatum"
"471";471;"Sphecodes divisus";NA;NA;NA;"Sphecodes crassus";NA;"synonym"
"472";472;"Sphecodes marginaturs";NA;NA;NA;"Sphecodes marginatus";NA;"Typo"
"473";473;"Sphecodes rufierus";NA;NA;NA;"Sphecodes ruficrus";NA;"Possibly Sphecodes ruficrus"
"474";474;"Stelis murina";NA;NA;NA;"Stelis murina";NA;NA
"475";475;"Stelis phaeophtera";NA;NA;NA;"Stelis phaeoptera";NA;"Typo"
"476";476;"Stelis phoenoptera";NA;NA;NA;"Stelis phaeoptera";NA;"Typo"
"477";477;"Stelis puntulatissima";NA;NA;NA;"Stelis punctulatissima";NA;"Typo"
"478";478;"Tetraloniella alticincta";NA;NA;NA;"Remove";NA;"Complex, cannot be resolved, Iberian revision necessary"
"479";479;"Trachusa atlanticum";NA;NA;NA;"Trachusa laeviventris";NA;"synonym"
"480";480;"Trachusa integra";NA;NA;NA;"Remove";NA;"Not present in Iberia, delete"
"481";481;"Trianthidium caturigense";NA;NA;NA;"Rhodanthidium caturigense";NA;"Wrong genus"
"482";482;"Vestitohalictus pollinosus";NA;NA;NA;"Halictus pollinosus";NA;"Wrong genus"
"483";483;"Vestitohalictus vestitus";NA;NA;NA;"Halictus vestitus";NA;"Wrong genus"
"484";484;"Xylocopa fenestrata";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
"485";485;"Xylocopa fimbriata";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
"486";486;"Xylocopa latipes";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
"487";487;"Xylocopa virginica";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
"488";NA;"Afranthidium malacopygum";NA;NA;NA;"Afranthidium carduele";"malacopygum";NA
"489";NA;"Amegilla albifrons";NA;NA;NA;"Remove";NA;NA
"490";NA;"Andrena albupunctata";NA;NA;NA;"Andrena albopunctata";NA;"Typo"
"491";NA;"Andrena armata";NA;NA;NA;"Andrena fulva";NA;"old synonym"
"492";NA;"Andrena benoisti";NA;NA;NA;"Andrena benoisti";NA;"newly described, Spain and Portugal. Authority Wood & Praz, 2021"
"493";NA;"Andrena coitana";NA;NA;NA;"Andrena coitana";NA;"This is a good species, present in Iberia"
"494";NA;"Andrena dourada";NA;NA;NA;"Remove";NA;"newly descibed, Madeira only"
"495";NA;"Andrena dunningi";NA;NA;NA;"Remove";NA;"This is a North American species, delete"
"496";NA;"Andrena flava";NA;NA;NA;"Remove";NA;"There is no Andrena flava, must be a genus + species error"
"497";NA;"Andrena fortipunctata";NA;NA;NA;"Andrena fortipunctata";NA;"newly described, Spain. authority Wood, 2021"
"498";NA;"Andrena gallica";NA;"Andrena assimilis";NA;"Andrena assimilis";NA;"synonym"
"499";NA;"Andrena hispanica";NA;NA;NA;"Andrena hispania";NA;"Typo"
"500";NA;"Andrena juliana";NA;NA;NA;"Andrena juliana";NA;"newly described, Spain and Portugal. Authority Wood, 2021"
"501";NA;"Andrena levante";NA;NA;NA;"Andrena levante";NA;"newly described, Spain. authority Wood & Praz, 2021"
"502";NA;"Andrena maderiensis";NA;NA;NA;"Remove";NA;"Madeira only"
"503";NA;"Andrena minuta";NA;NA;NA;"Andrena minutula";NA;"Typo"
"504";NA;"Andrena numida";NA;NA;NA;"Andrena hypopolia";NA;"hypopolia is probably a synonym of A. numida, but keep all Iberian data under hypopolia for now"
"505";NA;"Andrena ocreata";NA;"Andrena similis";NA;"Andrena similis";NA;"NB all similis data needs to be synonymised under Andrena russula Lepeletier, 1841 at some point, this paper is in review"
"506";NA;"Andrena ornata";NA;NA;NA;"Remove";NA;"Eastern species - never recorded from Iberia"
"507";NA;"Andrena orotavensis";NA;NA;NA;"Remove";NA;"Does not exist - no idea!"
"508";NA;"Andrena parvula";NA;"Andrena minutula";NA;"Andrena minutula";NA;"synonym"
"509";NA;"Andrena quadrimaculata";NA;NA;NA;"Remove";NA;"Eastern species - never recorded from Iberia"
"510";NA;"Andrena strohmella";NA;NA;NA;"Remove";NA;"Taxonomic+ecological issues, difference from A. icterina Warncke unclear, I cannot resolve this issue without specimens"
"511";NA;"Andrena taraxaci";NA;NA;NA;"Remove";NA;"Species complex, true taraxaci not present in Iberia, could be one of several species"
"512";NA;"Andrena ternuistriata";NA;NA;NA;"Andrena tenuistriata";NA;"Typo"
"513";NA;"Anthidium blongatum";NA;NA;NA;"Anthidium oblongatum";NA;"Typo"
"514";NA;"Anthidium canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only, exclude"
"515";NA;"Anthidium florentimun";NA;NA;NA;"Anthidium florentinum";NA;"Typo"
"516";NA;"Anthidium latreillei";NA;NA;NA;"Remove";NA;"Could possibly be Icteranthidium laterale, but this is too much of a jump to make without examining the specimen"
"517";NA;"Anthidium stictium";NA;NA;NA;"Rhodanthidium sticticum";NA;"I assume that both the genus and the spelling of the specific name is incorrect"
"518";NA;"Anthidium trematum";NA;NA;NA;"Remove";NA;"No idea! Delete"
"519";NA;"Anthidium variegatum";NA;NA;NA;"Remove";NA;"No idea! Delete"
"520";NA;"Anthophora californica";NA;NA;NA;"Remove";NA;"North American species!"
"521";NA;"Anthophora hispanicus";NA;NA;NA;"Anthophora hispanica";NA;NA
"522";NA;"Anthophora liefrincki";NA;NA;NA;"Remove";NA;"No idea! Delete"
"523";NA;"Anthophora nigrocincta";NA;NA;NA;"Anthophora canescens";NA;"synonym"
"524";NA;"Anthophora toracica";NA;NA;NA;"Remove";NA;"No idea! Delete"
"525";NA;"Bombus argillaceus";NA;NA;NA;"Remove";NA;"argillaceus does not occur in Iberia - probably a specimen of Bombus ruderatus"
"526";NA;"Bombus canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only"
"527";NA;"Bombus cryptarum";NA;NA;NA;"Remove";NA;"Good species, but B. cryptarum does not occur in Iberia"
"528";NA;"Bombus montincola";NA;NA;NA;"Bombus monticola";NA;"Typo"
"529";NA;"Bombus subterraneous";NA;NA;NA;"Bombus subterraneus";NA;"Typo"
"530";NA;"Bombus terrestri";NA;NA;NA;"Bombus terrestris";NA;"Typo"
"531";NA;"Bombus wuerflenii";NA;NA;NA;"Bombus wurflenii";NA;"Typo"
"532";NA;"Bombus wurfleinii";NA;NA;NA;"Bombus wurflenii";NA;"Typo"
"533";NA;"Ceratina calybea";NA;NA;NA;"Ceratina chalybea";NA;"Typo"
"534";NA;"Ceratina curcubitina";NA;NA;NA;"Ceratina cucurbitina";NA;"Typo"
"535";NA;"Coelioxys auroliubata";NA;NA;NA;"Coelioxys aurolimbata";NA;"Typo"
"536";NA;"Colletes africana";NA;NA;NA;"Remove";NA;"Not an Iberian species"
"537";NA;"Colletes albescens";NA;NA;NA;"Remove";NA;"Not an Iberian species"
"538";NA;"Colletes dimidiatus";NA;NA;NA;"Colletes dimidiatus";NA;"Endemic to Spain"
"539";NA;"Colletes jansmiti";NA;NA;NA;"Colletes jansmiti";NA;"Newly described"
"540";NA;"Colletes moricei";NA;NA;NA;"Colletes moricei";NA;"Good species, endemic to Spain"
"541";NA;"Colletes perezi";NA;NA;NA;"Remove";NA;"Does not occur in Iberia"
"542";NA;"Dioxys cinta";NA;NA;NA;"Dioxys cinctus";NA;NA
"543";NA;"Dioxys tridentata";NA;NA;NA;"Aglaoapis tridentata";NA;NA
"544";NA;"Dufourea maura";NA;NA;NA;"Remove";NA;"North American species!"
"545";NA;"Dufourea minta";NA;NA;NA;"Remove";NA;"Not a species"
"546";NA;"Eucera berlandi";NA;NA;NA;"Eucera rufa";NA;"synonym"
"547";NA;"Eucera gracillipes";NA;NA;NA;"Remove";NA;"Canary Islands only"
"548";NA;"Eucera lanuginosus";NA;NA;NA;"Remove";NA;"Taxonomic status unclear, exclude"
"549";NA;"Eucera maroccana";NA;NA;NA;"Remove";NA;"Status in Iberia unclear, exclude for now"
"550";NA;"Eucera nigrencens";NA;NA;NA;"Eucera nigrescens";NA;"Typo"
"551";NA;"Halictus asperellus";NA;NA;NA;"Remove";NA;"Not present in Iberia, delete"
"552";NA;"Halictus cremicornis";NA;NA;NA;"Halictus crenicornis";NA;"Typo"
"553";NA;"Halictus frontalis";NA;NA;NA;"Remove";NA;"Madeira only"
"554";NA;"Halictus gemmea";NA;NA;NA;"Halictus gemellus";NA;"equals Seladonia gemmella"
"555";NA;"Halictus gemmella";NA;NA;NA;"Halictus gemellus";NA;"equals Seladonia gemmella"
"556";NA;"Halictus pauxillum";NA;NA;NA;"Lasioglossum pauxillum";NA;NA
"557";NA;"Halictus sacabiosae";NA;NA;NA;"Halictus scabiosae";NA;"Typo"
"558";NA;"Halictus seladonia";NA;NA;NA;"Halictus seladonius";NA;"equals Seladonia seladonia"
"559";NA;"Halictus similar";NA;NA;NA;"Remove";NA;"No idea, clearly a typo but I don't know what the name was supposed to be"
"560";NA;"Halictus subaurata";NA;NA;NA;"Halictus subauratus";NA;"equals Seladonia subaurata"
"561";NA;"Halictus submediterranea";NA;NA;NA;"Halictus submediterraneus";NA;"equals Seladonia submediterranea"
"562";NA;"Hoplitis cristata";NA;NA;NA;"Hoplitis cristata";NA;NA
