"";"X.X.flag.checked.synonym_names.questionable.accepted_name.accepted_subspecies.Notes";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"197";"197;197;Lasioglossum castilianum;Lasioglossum castillianum;NA;NA;Lasioglossum castillianum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"198";"198;198;Lasioglossum chalcodes;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"199";"199;199;Lasioglossum clypeare;NA;NA;NA;Lasioglossum clypeare;NA;NA";NA;NA;NA;NA;NA;NA;NA
"200";"200;200;Lasioglossum convexiusculum;NA;NA;NA;Lasioglossum convexiusculum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"201";"201;201;Lasioglossum gemmeus;NA;NA;NA;Halictus gemmeus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"202";"202;202;Lasioglossum immaculatum;Lasioglossum bimaculatum;NA;NA;Remove;NA;Maybe but hard to be sure, there are a lot of Lasioglossum names";NA;NA;NA;NA;NA;NA;NA
"203";"203;203;Lasioglossum laetum;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"204";"204;204;Lasioglossum lativentre/sexnotatum/laterale;NA;NA;/;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"205";"205;205;Lasioglossum leucoleucozonium/immunitum;NA;NA;/;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"206";"206;206;Lasioglossum malachurum/mediterraneum;NA;NA;/;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"207";"207;207;Lasioglossum marginellum;NA;NA;NA;Remove;NA;Not confirmed from Spain";NA;NA;NA;NA;NA;NA;NA
"208";"208;208;Lasioglossum phoenicurum;NA;NA;NA;Lasioglossum phoenicurum;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"209";"209;209;Lasioglossum planulum;NA;NA;NA;Lasioglossum transitorium;planulum;NA";NA;NA;NA;NA;NA;NA;NA
"210";"210;210;Lasioglossum quadrinotatulus;Lasioglossum quadrinotatulum;NA;NA;Lasioglossum quadrinotatulum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"211";"211;211;Lasioglossum semilucens???;NA;NA;???;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"212";"212;212;Lasioglossum sexnotatum?;Lasioglossum sexnotatum;NA;?;Lasioglossum sexnotatum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"213";"213;213;Lasioglossum sextrigatum;Lasioglossum sexstrigatum;NA;NA;Lasioglossum sexstrigatum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"214";"214;214;Lasioglossum sphecodimorphum;Lasioglossum sphecidomorphum;NA;NA;Lasioglossum sphecidomorphum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"215";"215;215;Lasioglossum subhirtum???;NA;NA;???;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"216";"216;216;Lasioglossum villosum;Lasioglossum villosulum;NA;NA;Lasioglossum villosulum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"217";"217;217;Lasioglossum viride;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"218";"218;218;Megachile albohirta;NA;NA;NA;Remove;NA;Canarian bee, taxonomically challenging, currently do not consider";NA;NA;NA;NA;NA;NA;NA
"219";"219;219;Megachile argentala;NA;NA;NA;Remove;NA;Old name (Megachile argentata) referring to what are currently referred to as M. pilidens and M. leachella. Very difficult to assign a correct name to this";NA;NA;NA;NA;NA;NA;NA
"220";"220;220;Megachile argentata;NA;NA;NA;Remove;NA;Old name (Megachile argentata) referring to what are currently referred to as M. pilidens and M. leachella. Very difficult to assign a correct name to this";NA;NA;NA;NA;NA;NA;NA
"221";"221;221;Megachile atratula;NA;NA;NA;Megachile pusilla;NA;Junior synonym";NA;NA;NA;NA;NA;NA;NA
"222";"222;222;Megachile baetica;NA;NA;NA;Megachile parietina;NA;Probably just a colour form of M. parietina";NA;NA;NA;NA;NA;NA;NA
"223";"223;223;Megachile canescens;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"224";"224;224;Megachile concinna;NA;NA;NA;Megachile pusilla;NA;Junior synonym";NA;NA;NA;NA;NA;NA;NA
"225";"225;225;Megachile dorsalis;NA;NA;NA;Megachile leachella;NA;NA";NA;NA;NA;NA;NA;NA;NA
"226";"226;226;Megachile melanogastra;Megachile melanogaster;NA;NA;Remove;NA;Probably, but hard to say for certain";NA;NA;NA;NA;NA;NA;NA
"227";"227;227;Megachile mendica;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"228";"228;228;Megachile picicornis;NA;NA;NA;Megachile picicornis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"229";"229;229;Megachile schmiedeknechti;NA;NA;NA;Remove;NA;Not recorded from the Iberian peninsula";NA;NA;NA;NA;NA;NA;NA
"230";"230;230;Megachile sculpturalis;NA;NA;NA;Megachile sculpturalis;NA;Invasive Asian species, I had forgotten that this was now present in Spain";NA;NA;NA;NA;NA;NA;NA
"231";"231;231;Melecta canariensis;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"232";"232;232;Melecta caroli;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"233";"233;233;Melecta curvispina;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"234";"234;234;Melecta funeraria;NA;NA;NA;Remove;NA;Not present in the Iberian peninsula";NA;NA;NA;NA;NA;NA;NA
"235";"235;235;Melecta prophanta;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"236";"236;236;Melissodes bimaculatus;NA;NA;NA;Remove;NA;North American species!";NA;NA;NA;NA;NA;NA;NA
"237";"237;237;Melitta aegyptiaca;Melecta aegyptiaca;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"238";"238;238;Melitta kastliliensis;Melitta kastiliensis;NA;NA;Melitta kastiliensis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"239";"239;239;Melitta schmiedeknechti;NA;Melitta schmiedeknechtii;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"240";"240;240;Melitturga cauadata;Melitturga caudata;NA;NA;Melitturga caudata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"241";"241;241;Nomada argentata;NA;NA;NA;Remove;NA;Not present in the Iberian peninsula";NA;NA;NA;NA;NA;NA;NA
"242";"242;242;Nomada maculicornis???;NA;NA;???;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"243";"243;243;Nomada succinta;Nomada succincta;NA;NA;Nomada succincta;NA;NA";NA;NA;NA;NA;NA;NA;NA
"244";"244;244;Nomia armata;Nomada armata;NA;NA;Remove;NA;Possible, but need to ask the author, not safe to make this assumption";NA;NA;NA;NA;NA;NA;NA
"245";"245;245;Nomiapis bispinosa_agg;NA;NA;_agg;Pseudapis bispinosa;aggregate;There are two species in this group, we do need an aggregate";NA;NA;NA;NA;NA;NA;NA
"246";"246;246;Nomiapis diversipes;NA;NA;NA;Pseudapis diversipes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"247";"247;247;Nomiapis femoralis;NA;NA;NA;Pseudapis femoralis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"248";"248;248;Nomiapis valga;NA;NA;NA;Pseudapis valga;NA;NA";NA;NA;NA;NA;NA;NA;NA
"249";"249;249;Nomioides deceptor;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"250";"250;250;Nomioides fortunatus;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"251";"251;251;Nomioides variegata;NA;NA;NA;Ceylalictus variegatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"252";"252;252;Osmia adunca;NA;NA;NA;Hoplitis adunca;NA;NA";NA;NA;NA;NA;NA;NA;NA
"253";"253;253;Osmia ancey;Osmia anceyi;NA;NA;Osmia anceyi;NA;NA";NA;NA;NA;NA;NA;NA;NA
"254";"254;254;Osmia cerinthidis;NA;NA;NA;Remove;NA;NA";NA;NA;NA;NA;NA;NA;NA
"255";"255;255;Osmia claviventris;NA;NA;NA;Hoplitis claviventris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"256";"256;256;Osmia cyanthoxantha;Osmia cyanoxantha;NA;NA;Osmia cyanoxantha;NA;NA";NA;NA;NA;NA;NA;NA;NA
"257";"257;257;Osmia fulviventris;NA;Osmia niveata;NA;Osmia niveata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"258";"258;258;Osmia neoregaena;NA;NA;NA;Osmia cornuta;NA;NA";NA;NA;NA;NA;NA;NA;NA
"259";"259;259;Osmia papaveris;NA;NA;NA;Hoplitis papaveris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"260";"260;260;Osmia ravouxi;NA;NA;NA;Hoplitis ravouxi;NA;NA";NA;NA;NA;NA;NA;NA;NA
"261";"261;261;Osmia robusta;NA;NA;NA;Remove;NA;Hoplitis robusta, not present in the Iberian peninsula";NA;NA;NA;NA;NA;NA;NA
"262";"262;262;Osmia rufa;NA;NA;NA;Osmia bicornis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"263";"263;263;Osmia rufa/aurulenta;NA;NA;/;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"264";"264;264;Osmia rufa/aurulenta-alike;NA;NA;NA;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"265";"265;265;Osmia subimcans;Osmia submicans;NA;NA;Osmia submicans;NA;NA";NA;NA;NA;NA;NA;NA;NA
"266";"266;266;Panurginus brullei;NA;NA;NA;Remove;NA;True brullei is on the Canaries only!!! If used in an Iberian context it is albopilosus";NA;NA;NA;NA;NA;NA;NA
"267";"267;267;Panurginus canescens;Panurgus canescens;NA;NA;Panurgus canescens;NA;NA";NA;NA;NA;NA;NA;NA;NA
"268";"268;268;Panurgus arctos;NA;Panurgus cephalotes;NA;Panurgus cephalotes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"269";"269;269;Panurgus canarius;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"270";"270;270;Panurgus dargius/cephalotes;NA;NA;/;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"271";"271;271;Panurgus dentatus;NA;NA;NA;Remove;NA;Could be a mis-spelling of Panurgus dentipes";NA;NA;NA;NA;NA;NA;NA
"272";"272;272;Panurgus intermedius;NA;NA;NA;Remove;NA;Not present in the Iberian peninsula";NA;NA;NA;NA;NA;NA;NA
"273";"273;273;Panurgus maroccanus;NA;NA;NA;Remove;NA;Not present in the Iberian peninsula";NA;NA;NA;NA;NA;NA;NA
"274";"274;274;Panurgus merceti;NA;Flavipanurgus merceti;NA;Flavipanurgus merceti;NA;NA";NA;NA;NA;NA;NA;NA;NA
"275";"275;275;Panurgus pici;NA;NA;NA;Panurgus pici;NA;NA";NA;NA;NA;NA;NA;NA;NA
"276";"276;276;Pseudapis monstrosa;NA;NA;NA;Remove;NA;Not present in Iberia - misidentification";NA;NA;NA;NA;NA;NA;NA
"277";"277;277;Pseudapis unidentata;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"278";"278;278;Pseudoanthidium lituratum;NA;Pseudoanthidium scapulare;NA;Pseudoanthidium nanum;aggregate;This group of Pseudoanthidium is highly confused and undergoing revision at the moment, best to include as P. nanum aggregate";NA;NA;NA;NA;NA;NA;NA
"279";"279;279;Pseudoanthidium melanorum;Pseudoanthidium melanurum;NA;NA;Pseudoanthidium melanurum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"280";"280;280;Pseudoanthidium stigmaticorne;NA;NA;NA;Pseudoanthidium nanum;aggregate;NA";NA;NA;NA;NA;NA;NA;NA
"281";"281;281;Psithyrus barbutellus;NA;NA;NA;Bombus barbutellus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"282";"282;282;Psithyrus bohemicus;NA;NA;NA;Bombus bohemicus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"283";"283;283;Psithyrus campestris;NA;NA;NA;Bombus campestris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"284";"284;284;Psithyrus maxillosus;NA;NA;NA;Bombus barbutellus;NA;Now synonymous with barbutellus";NA;NA;NA;NA;NA;NA;NA
"285";"285;285;Psithyrus norvegicus;NA;NA;NA;Bombus norvegicus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"286";"286;286;Psithyrus rupestris;NA;NA;NA;Bombus rupestris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"287";"287;287;Psithyrus silvestris;NA;NA;NA;Bombus sylvestris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"288";"288;288;Psithyrus vestalis;NA;NA;NA;Bombus vestalis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"289";"289;289;Rhodanthidium septendentatum;Rhodanthidium septemdentatum;NA;NA;Rhodanthidium septemdentatum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"290";"290;290;Sphecodes crassanus???;NA;NA;???;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"291";"291;291;Sphecodes ferruginatus_or_croaticus;NA;NA;_or_;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"292";"292;292;Sphecodes longulus???;NA;NA;???;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"293";"293;293;Sphecodes punticeps;Sphecodes puncticeps;NA;NA;Sphecodes puncticeps;NA;NA";NA;NA;NA;NA;NA;NA;NA
"294";"294;294;Sphecodes spinulosus_or_ferruginatus;NA;NA;_or_;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"295";"295;295;Sphecodes subovalis;NA;NA;NA;Sphecodes rufiventris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"296";"296;296;Tetralonia acutangula;NA;Tetraloniella fulvescens;NA;Eucera fulvescens;NA;All Tetralonia/Tetraloniella now Eucera (Tetralonia) species";NA;NA;NA;NA;NA;NA;NA
"297";"297;297;Tetralonia alternans;NA;NA;NA;Eucera alternans;NA;NA";NA;NA;NA;NA;NA;NA;NA
"298";"298;298;Tetralonia antigae;NA;Tetraloniella strigata;NA;Eucera strigata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"299";"299;299;Tetralonia asensioi;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"300";"300;300;Tetralonia atroalba;NA;NA;NA;Eucera brachycera;NA;NA";NA;NA;NA;NA;NA;NA;NA
"301";"301;301;Tetralonia berlandi;NA;NA;NA;Eucera rufa;NA;NA";NA;NA;NA;NA;NA;NA;NA
"302";"302;302;Tetralonia dentata;NA;NA;NA;Eucera dentata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"303";"303;303;Tetralonia dufouri;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"304";"304;304;Tetralonia fulvescens;NA;NA;NA;Eucera fulvescens;NA;NA";NA;NA;NA;NA;NA;NA;NA
"305";"305;305;Tetralonia graja;NA;NA;NA;Eucera graja;NA;NA";NA;NA;NA;NA;NA;NA;NA
"306";"306;306;Tetralonia iberica;NA;NA;NA;Eucera iberica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"307";"307;307;Tetralonia malvae;NA;NA;NA;Eucera malvae;NA;NA";NA;NA;NA;NA;NA;NA;NA
"308";"308;308;Tetralonia nana;NA;NA;NA;Eucera nana;NA;NA";NA;NA;NA;NA;NA;NA;NA
"309";"309;309;Tetralonia ruficornis;NA;NA;NA;Eucera ruficornis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"310";"310;310;Tetralonia salicariae;NA;Tetraloniella salicariae;NA;Eucera salicariae;NA;NA";NA;NA;NA;NA;NA;NA;NA
"311";"311;311;Tetralonia tricincta;NA;Eucera tricincta;NA;Eucera tricincta;NA;NA";NA;NA;NA;NA;NA;NA;NA
"312";"312;312;Tetraloniella cinctella;NA;NA;NA;Eucera cinctella;NA;NA";NA;NA;NA;NA;NA;NA;NA
"313";"313;313;Tetraloniella dentata;NA;NA;NA;Eucera dentata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"314";"314;314;Tetraloniella fulvescens;NA;NA;NA;Eucera fulvescens;NA;NA";NA;NA;NA;NA;NA;NA;NA
"315";"315;315;Tetraloniella graja;NA;NA;NA;Eucera graja;NA;NA";NA;NA;NA;NA;NA;NA;NA
"316";"316;316;Tetraloniella iberica;NA;NA;NA;Eucera iberica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"317";"317;317;Tetraloniella nana;NA;NA;NA;Eucera nana;NA;NA";NA;NA;NA;NA;NA;NA;NA
"318";"318;318;Tetraloniella ruficornis;NA;NA;NA;Eucera ruficornis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"319";"319;319;Tetraloniella salicariae;NA;NA;NA;Eucera salicariae;NA;NA";NA;NA;NA;NA;NA;NA;NA
"320";"320;320;Tetraloniella strigata;NA;NA;NA;Eucera strigata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"321";"321;321;Thyreus hellenicus;NA;NA;NA;Remove;NA;I don't understand this taxon - not listed by Ortiz-Sanchez, no-body really understands Thyreus at all, very difficult bees";NA;NA;NA;NA;NA;NA;NA
"322";"322;322;Thyreus ramosellus;NA;NA;NA;Remove;NA;East Mediterranean - delete";NA;NA;NA;NA;NA;NA;NA
"323";"323;323;Trachusa atlantica;NA;NA;NA;Trachusa laeviventris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"324";"324;324;Trachusa laeviventre;Trachusa laeviventris;NA;NA;Trachusa laeviventris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"325";"325;325;Xylocopa pubescens;NA;NA;NA;Remove;NA;Currently not know from Iberia - North African species";NA;NA;NA;NA;NA;NA;NA
"326";"326;326;Xylocopa uclesiensis;NA;NA;NA;Xylocopa iris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"327";"327;327;Xylocopa violaceae;Xylocopa violacea;NA;NA;Xylocopa violacea;NA;NA";NA;NA;NA;NA;NA;NA;NA
"328";"328;328;Heliophila bimaculata;NA;NA;NA;Anthophora bimaculata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"329";"329;329;Seladonia gemmella;NA;NA;NA;Halictus gemellus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"330";"330;330;Seladonia submediterranea;NA;NA;NA;Halictus submediterraneus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"331";"331;331;Synhalonia hungarica;NA;NA;NA;Eucera hungarica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"332";"332;332;Bombus inexpectatus;NA;NA;NA;Bombus inexspectatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"333";"333;333;Haetosmia circumventa;NA;NA;NA;Remove;NA;Canary Islands";NA;NA;NA;NA;NA;NA;NA
"334";"334;334;Hoplitis crenulata;NA;NA;NA;Hoplitis annulata;crenulata;NA";NA;NA;NA;NA;NA;NA;NA
"335";"335;335;Afranthidium malacopygum;NA;NA;NA;Afranthidium carduele;malacopygum;NA";NA;NA;NA;NA;NA;NA;NA
"336";"336;336;Amegilla albifrons;NA;NA;NA;Remove;NA;NA";NA;NA;NA;NA;NA;NA;NA
"337";"337;337;Andrena albupunctata;NA;NA;NA;Andrena albopunctata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"338";"338;338;Andrena armata;NA;NA;NA;Andrena fulva;NA;old synonym";NA;NA;NA;NA;NA;NA;NA
"339";"339;339;Andrena benoisti;NA;NA;NA;Andrena benoisti;NA;newly described, Spain and Portugal. Authority Wood & Praz, 2021";NA;NA;NA;NA;NA;NA;NA
"340";"340;340;Andrena coitana;NA;NA;NA;Andrena coitana;NA;This is a good species, present in Iberia";NA;NA;NA;NA;NA;NA;NA
"341";"341;341;Andrena dourada;NA;NA;NA;Remove;NA;newly descibed, Madeira only";NA;NA;NA;NA;NA;NA;NA
"342";"342;342;Andrena dunningi;NA;NA;NA;Remove;NA;This is a North American species, delete";NA;NA;NA;NA;NA;NA;NA
"343";"343;343;Andrena flava;NA;NA;NA;Remove;NA;There is no Andrena flava, must be a genus + species error";NA;NA;NA;NA;NA;NA;NA
"344";"344;344;Andrena fortipunctata;NA;NA;NA;Andrena fortipunctata;NA;newly described, Spain. authority Wood, 2021";NA;NA;NA;NA;NA;NA;NA
"345";"345;345;Andrena gallica;NA;Andrena assimilis;NA;Andrena assimilis;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"346";"346;346;Andrena hispanica;NA;NA;NA;Andrena hispania;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"347";"347;347;Andrena juliana;NA;NA;NA;Andrena juliana;NA;newly described, Spain and Portugal. Authority Wood, 2021";NA;NA;NA;NA;NA;NA;NA
"348";"348;348;Andrena levante;NA;NA;NA;Andrena levante;NA;newly described, Spain. authority Wood & Praz, 2021";NA;NA;NA;NA;NA;NA;NA
"349";"349;349;Andrena maderiensis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"350";"350;350;Andrena minuta;NA;NA;NA;Andrena minutula;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"351";"351;351;Andrena numida;NA;NA;NA;Andrena hypopolia;NA;hypopolia is probably a synonym of A. numida, but keep all Iberian data under hypopolia for now";NA;NA;NA;NA;NA;NA;NA
"352";"352;352;Andrena ocreata;NA;Andrena similis;NA;Andrena similis;NA;NB all similis data needs to be synonymised under Andrena russula Lepeletier, 1841 at some point, this paper is in review";NA;NA;NA;NA;NA;NA;NA
"353";"353;353;Andrena ornata;NA;NA;NA;Remove;NA;Eastern species - never recorded from Iberia";NA;NA;NA;NA;NA;NA;NA
"354";"354;354;Andrena orotavensis;NA;NA;NA;Remove;NA;Does not exist - no idea!";NA;NA;NA;NA;NA;NA;NA
"355";"355;355;Andrena parvula;NA;Andrena minutula;NA;Andrena minutula;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"356";"356;356;Andrena quadrimaculata;NA;NA;NA;Remove;NA;Eastern species - never recorded from Iberia";NA;NA;NA;NA;NA;NA;NA
"357";"357;357;Andrena strohmella;NA;NA;NA;Remove;NA;Taxonomic+ecological issues, difference from A. icterina Warncke unclear, I cannot resolve this issue without specimens";NA;NA;NA;NA;NA;NA;NA
"358";"358;358;Andrena taraxaci;NA;NA;NA;Remove;NA;Species complex, true taraxaci not present in Iberia, could be one of several species";NA;NA;NA;NA;NA;NA;NA
"359";"359;359;Andrena ternuistriata;NA;NA;NA;Andrena tenuistriata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"360";"360;360;Anthidium blongatum;NA;NA;NA;Anthidium oblongatum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"361";"361;361;Anthidium canariensis;NA;NA;NA;Remove;NA;Canary Islands only, exclude";NA;NA;NA;NA;NA;NA;NA
"362";"362;362;Anthidium florentimun;NA;NA;NA;Anthidium florentinum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"363";"363;363;Anthidium latreillei;NA;NA;NA;Remove;NA;Could possibly be Icteranthidium laterale, but this is too much of a jump to make without examining the specimen";NA;NA;NA;NA;NA;NA;NA
"364";"364;364;Anthidium stictium;NA;NA;NA;Rhodanthidium sticticum;NA;I assume that both the genus and the spelling of the specific name is incorrect";NA;NA;NA;NA;NA;NA;NA
"365";"365;365;Anthidium trematum;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"366";"366;366;Anthidium variegatum;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"367";"367;367;Anthophora californica;NA;NA;NA;Remove;NA;North American species!";NA;NA;NA;NA;NA;NA;NA
"368";"368;368;Anthophora hispanicus;NA;NA;NA;Anthophora hispanica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"369";"369;369;Anthophora liefrincki;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"370";"370;370;Anthophora nigrocincta;NA;NA;NA;Anthophora canescens;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"371";"371;371;Anthophora toracica;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"372";"372;372;Bombus argillaceus;NA;NA;NA;Remove;NA;argillaceus does not occur in Iberia - probably a specimen of Bombus ruderatus";NA;NA;NA;NA;NA;NA;NA
"373";"373;373;Bombus canariensis;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"374";"374;374;Bombus cryptarum;NA;NA;NA;Remove;NA;Good species, but B. cryptarum does not occur in Iberia";NA;NA;NA;NA;NA;NA;NA
"375";"375;375;Bombus montincola;NA;NA;NA;Bombus monticola;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"376";"376;376;Bombus subterraneous;NA;NA;NA;Bombus subterraneus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"377";"377;377;Bombus terrestri;NA;NA;NA;Bombus terrestris;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"378";"378;378;Bombus wuerflenii;NA;NA;NA;Bombus wurflenii;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"379";"379;379;Bombus wurfleinii;NA;NA;NA;Bombus wurflenii;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"380";"380;380;Ceratina calybea;NA;NA;NA;Ceratina chalybea;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"381";"381;381;Ceratina curcubitina;NA;NA;NA;Ceratina cucurbitina;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"382";"382;382;Coelioxys auroliubata;NA;NA;NA;Coelioxys aurolimbata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"383";"383;383;Colletes africana;NA;NA;NA;Remove;NA;Not an Iberian species";NA;NA;NA;NA;NA;NA;NA
"384";"384;384;Colletes albescens;NA;NA;NA;Remove;NA;Not an Iberian species";NA;NA;NA;NA;NA;NA;NA
"385";"385;385;Colletes dimidiatus;NA;NA;NA;Colletes dimidiatus;NA;Endemic to Spain";NA;NA;NA;NA;NA;NA;NA
"386";"386;386;Colletes jansmiti;NA;NA;NA;Colletes jansmiti;NA;Newly described";NA;NA;NA;NA;NA;NA;NA
"387";"387;387;Colletes moricei;NA;NA;NA;Colletes moricei;NA;Good species, endemic to Spain";NA;NA;NA;NA;NA;NA;NA
"388";"388;388;Colletes perezi;NA;NA;NA;Remove;NA;Does not occur in Iberia";NA;NA;NA;NA;NA;NA;NA
"389";"389;389;Dioxys cinta;NA;NA;NA;Dioxys cinctus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"390";"390;390;Dioxys tridentata;NA;NA;NA;Aglaoapis tridentata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"391";"391;391;Dufourea maura;NA;NA;NA;Remove;NA;North American species!";NA;NA;NA;NA;NA;NA;NA
"392";"392;392;Dufourea minta;NA;NA;NA;Remove;NA;Not a species";NA;NA;NA;NA;NA;NA;NA
"393";"393;393;Eucera berlandi;NA;NA;NA;Eucera rufa;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"394";"394;394;Eucera gracillipes;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"395";"395;395;Eucera lanuginosus;NA;NA;NA;Remove;NA;Taxonomic status unclear, exclude";NA;NA;NA;NA;NA;NA;NA
